run_accession	fastq_ftp	sample_alias	secondary_sample_accession	experiment_alias
SRR5305554	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305554/SRR5305554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305554/SRR5305554_2.fastq.gz	GSM2516883	SRS2018252	GSM2516883
SRR5305557	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305557/SRR5305557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305557/SRR5305557_2.fastq.gz	GSM2516886	SRS2018251	GSM2516886
SRR5305560	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305560/SRR5305560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305560/SRR5305560_2.fastq.gz	GSM2516889	SRS2018255	GSM2516889
SRR5305565	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305565/SRR5305565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305565/SRR5305565_2.fastq.gz	GSM2516894	SRS2018262	GSM2516894
SRR5305571	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305571/SRR5305571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305571/SRR5305571_2.fastq.gz	GSM2516900	SRS2018269	GSM2516900
SRR5305575	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305575/SRR5305575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305575/SRR5305575_2.fastq.gz	GSM2516904	SRS2018271	GSM2516904
SRR5305577	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305577/SRR5305577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305577/SRR5305577_2.fastq.gz	GSM2516906	SRS2018272	GSM2516906
SRR5305580	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305580/SRR5305580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305580/SRR5305580_2.fastq.gz	GSM2516909	SRS2018278	GSM2516909
SRR5305588	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305588/SRR5305588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305588/SRR5305588_2.fastq.gz	GSM2516917	SRS2018286	GSM2516917
SRR5305592	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305592/SRR5305592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305592/SRR5305592_2.fastq.gz	GSM2516921	SRS2018288	GSM2516921
