run_accession	fastq_ftp	sample_alias	secondary_sample_accession	experiment_alias
SRR5305531	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305531/SRR5305531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305531/SRR5305531_2.fastq.gz	GSM2516860	SRS2018229	GSM2516860
SRR5305534	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305534/SRR5305534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305534/SRR5305534_2.fastq.gz	GSM2516863	SRS2018232	GSM2516863
SRR5305537	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305537/SRR5305537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305537/SRR5305537_2.fastq.gz	GSM2516866	SRS2018233	GSM2516866
SRR5305538	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305538/SRR5305538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305538/SRR5305538_2.fastq.gz	GSM2516867	SRS2018236	GSM2516867
SRR5305545	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305545/SRR5305545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305545/SRR5305545_2.fastq.gz	GSM2516874	SRS2018240	GSM2516874
SRR5305547	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305547/SRR5305547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305547/SRR5305547_2.fastq.gz	GSM2516876	SRS2018244	GSM2516876
SRR5305549	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305549/SRR5305549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305549/SRR5305549_2.fastq.gz	GSM2516878	SRS2018249	GSM2516878
SRR5305558	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305558/SRR5305558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305558/SRR5305558_2.fastq.gz	GSM2516887	SRS2018257	GSM2516887
SRR5305559	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305559/SRR5305559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305559/SRR5305559_2.fastq.gz	GSM2516888	SRS2018259	GSM2516888
SRR5305562	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305562/SRR5305562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305562/SRR5305562_2.fastq.gz	GSM2516891	SRS2018260	GSM2516891
SRR5305566	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305566/SRR5305566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305566/SRR5305566_2.fastq.gz	GSM2516895	SRS2018261	GSM2516895
SRR5305567	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305567/SRR5305567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305567/SRR5305567_2.fastq.gz	GSM2516896	SRS2018263	GSM2516896
SRR5305568	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305568/SRR5305568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305568/SRR5305568_2.fastq.gz	GSM2516897	SRS2018264	GSM2516897
SRR5305570	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305570/SRR5305570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305570/SRR5305570_2.fastq.gz	GSM2516899	SRS2018268	GSM2516899
SRR5305572	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305572/SRR5305572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305572/SRR5305572_2.fastq.gz	GSM2516901	SRS2018267	GSM2516901
SRR5305573	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305573/SRR5305573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305573/SRR5305573_2.fastq.gz	GSM2516902	SRS2018273	GSM2516902
SRR5305576	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305576/SRR5305576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305576/SRR5305576_2.fastq.gz	GSM2516905	SRS2018274	GSM2516905
SRR5305578	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305578/SRR5305578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305578/SRR5305578_2.fastq.gz	GSM2516907	SRS2018277	GSM2516907
SRR5305579	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305579/SRR5305579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305579/SRR5305579_2.fastq.gz	GSM2516908	SRS2018276	GSM2516908
SRR5305582	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305582/SRR5305582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305582/SRR5305582_2.fastq.gz	GSM2516911	SRS2018280	GSM2516911
SRR5305584	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305584/SRR5305584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305584/SRR5305584_2.fastq.gz	GSM2516913	SRS2018281	GSM2516913
SRR5305585	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305585/SRR5305585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/005/SRR5305585/SRR5305585_2.fastq.gz	GSM2516914	SRS2018282	GSM2516914
SRR5305586	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305586/SRR5305586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305586/SRR5305586_2.fastq.gz	GSM2516915	SRS2018284	GSM2516915
SRR5305587	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305587/SRR5305587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305587/SRR5305587_2.fastq.gz	GSM2516916	SRS2018285	GSM2516916
SRR5305589	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305589/SRR5305589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305589/SRR5305589_2.fastq.gz	GSM2516918	SRS2018290	GSM2516918
SRR5305591	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305591/SRR5305591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305591/SRR5305591_2.fastq.gz	GSM2516920	SRS2018289	GSM2516920
SRR5305593	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305593/SRR5305593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305593/SRR5305593_2.fastq.gz	GSM2516922	SRS2018287	GSM2516922
